,index,ticker,ytdReturn,3 Year,yield_db,esg_global_score,id,symbol,yield,ytdReturn,threeYearAverageReturn,fiveYearAverageReturn,cashPosition,stockPosition,bondPosition,otherPosition,basic_materials,communication_services,consumer_cyclical,consumer_defensive,energy,financial_services,healthcare,industrials,realestate,technology,utilities,stock_id,meanAnnualReturn,standardDeviation
0,122,ESGD,0.0529,0.0444,0.000247,0.9976999999999999,1,ESGD,0.024300002,0.043059703,0.0425825,0.042333104,0.007099999599999999,0.9921,0.0,0.0,0.0717,0.040799998,0.1083,0.0956,0.0556,0.1892,0.129,0.1616,0.0238,0.09300000000000001,0.0313,1,0.42,18.66
1,123,EIRL,0.15839999999999999,0.08470000000000001,8.5e-05,0.9873999999999999,2,EIRL,0.0085,0.1425921,0.0830035,0.060140099999999995,0.0044,0.9957,0.0,0.0,0.23110001,0.0,0.3261,0.1319,0.0,0.0952,0.0624,0.1426,0.0107,0.0,0.0,2,0.66,24.17
2,124,EWN,0.004699999999999999,0.020099999999999996,0.00018800000000000002,0.9858,3,EWN,0.0188,0.004143600000000001,0.022549200000000002,0.07075989999999999,0.0039,0.9961,0.0,0.0,0.05,0.1287,0.0294,0.1552,0.0177,0.1446,0.0356,0.1275,0.0106,0.3007,0.0,3,0.75,23.41
3,125,SUSA,0.1036,0.06709999999999999,0.000135,0.9856999999999999,4,SUSA,0.0148,0.0919413,0.06872400000000001,0.11222850000000001,0.0026,0.9974,0.0,0.0,0.0257,0.0574,0.083000004,0.0883,0.045100003,0.0958,0.1337,0.11800000000000001,0.0322,0.3123,0.0084,4,0.96,19.52
4,126,EWP,0.1258,0.0966,0.000265,0.9812000000000001,5,EWP,0.026300002000000003,0.123866595,0.0969567,0.0214297,0.0022,0.9978,0.0,0.0,0.0,0.047199998,0.0866,0.0,0.049000002,0.3234,0.0209,0.1397,0.0427,0.0,0.2904,5,0.36,23.7
5,127,ENOR,-0.0275,0.07139999999999999,0.000485,0.9793000000000001,6,ENOR,0.0477,-0.0380534,0.067930296,-0.007894400000000001,0.0034,0.99660003,0.0,0.0,0.1033,0.088599995,0.0027,0.1387,0.3205,0.1924,0.002,0.1116,0.0038,0.032,0.0043,6,0.21,27.13
6,128,DMXF,0.048499999999999995,0.0196,0.000213,0.9790000000000001,7,DMXF,0.021,0.0410771,0.0188457,0.0,0.007099999599999999,0.9915,0.0,0.0,0.0757,0.060300004000000004,0.0776,0.0349,0.0,0.2175,0.121800005,0.20709999,0.0448,0.1548,0.0056,7,0.0,0.0
7,131,FEZ,0.0919,0.0691,0.0325,0.9743999999999999,10,FEZ,0.0323,0.0900742,0.0702503,0.05682869999999999,0.00029999999,0.98440003,0.0153,0.0,0.0424,0.038900002999999996,0.1909,0.0817,0.066199996,0.1626,0.0736,0.1571,0.0,0.1497,0.037000000000000005,10,0.61,22.78
8,132,GRID,0.04190000000000001,0.1072,0.000134,0.9727,11,GRID,0.0128999995,0.026340598,0.10419310000000001,0.16812779999999997,0.0037,0.9963,0.0,0.0,0.0002,0.0,0.0659,0.0,0.0,0.0,0.0,0.5345,0.0,0.2013,0.1981,11,1.49,25.24
9,133,IQLT,0.0447,0.038900000000000004,0.00023199999999999997,0.9712999999999999,12,IQLT,0.0235,0.0351999,0.0378403,0.061424900000000004,0.0089,0.9888,0.0,0.0,0.081499994,0.0398,0.1086,0.0915,0.0661,0.1966,0.1265,0.1516,0.0222,0.0836,0.0321,12,0.55,18.34
