id,symbol,yield,ytdReturn,threeYearAverageReturn,fiveYearAverageReturn,cashPosition,stockPosition,bondPosition,otherPosition,longSummary
1,ESGD,0.024300002,0.043059703,0.0425825,0.042333104,0.0070999996,0.9921,0,0,"The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The underlying index is composed of large- and mid-capitalization developed market equities, excluding the U.S. and Canada that have positive environmental, social and governance characteristics as identified by the index provider while exhibiting risk and return characteristics similar to those of the parent index."
2,EIRL,0.0085,0.1425921,0.0830035,0.0601401,0.0044,0.9957,0,0,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization-weighted index. The index is a broad-based index composed of Irish equities. The fund is non-diversified."
3,EWN,0.0188,0.0041436,0.0225492,0.0707599,0.0039,0.9961,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is a free float-adjusted market capitalization-weighted index that is designed to measure the performance of the large-, mid- and small-capitalization segments of the equity market in the Netherlands. The fund is non-diversified."
4,SUSA,0.0148,0.0919413,0.068724,0.1122285,0.0026,0.9974,0,0,"The fund generally will invest at least 90% of its assets in the component securities of the underlying index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is an optimized index designed to maximize exposure to positive environmental, social and governance characteristics while exhibiting risk and return characteristics similar to the MSCI USA Index."
5,EWP,0.026300002,0.123866595,0.0969567,0.0214297,0.0022,0.9978,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a free float-adjusted market capitalization-weighted index that is designed to measure the performance of the large- and mid-capitalization segments of the equity market in Spain. The fund is non-diversified."
6,ENOR,0.0477,-0.0380534,0.067930296,-0.0078944,0.0034,0.99660003,0,0,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization-weighted index that is designed to measure the performance of the large-, mid- and small-capitalization segments of the equity market. in Norway. The fund is non-diversified."
7,DMXF,0.021,0.0410771,0.0188457,0,0.0070999996,0.9915,0,0,"The index is a free float-adjusted market capitalization-weighted index designed to reflect the equity performance of large- and mid-capitalization developed market companies, excluding the U.S. and Canada, with favorable ESG ratings while applying extensive screens, including removing fossil fuel exposure. The fund generally will invest at least 90% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. It is non-diversified."
8,LCTD,0.033,0.0356169,,0,0.024,0.9757,0,0,"The fund seeks to outperform the price and yield performance of the MSCI World ex USA Index before including Fund expenses, while optimizing for LCETR scores criteria based on proprietary BFA research. The Advisor selects portfolio securities that are components of the index. The index measures the performance of large- and mid-capitalization stocks across global developed market countries, excluding the U.S. It is non-diversified."
9,IWTR,0.0139999995,-0.0170527,,0,0.0119,0.98480004,0.0034,0,"It invests at least 90% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified."
10,FEZ,0.0323,0.0900742,0.0702503,0.0568287,0.00029999999,0.98440003,0.0153,0,"The fund employs a sampling strategy, which means that the fund is not required to purchase all of the securities represented in the index. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index is a market capitalization weighted index designed to represent the performance of some of the largest companies across components of the 20 EURO STOXX Supersector Indexes. The EURO STOXX Supersector Indexes are subsets of the EURO STOXX Index."
11,GRID,0.0128999995,0.026340598,0.1041931,0.1681278,0.0037,0.9963,0,0,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index includes companies that are primarily engaged and involved in electric grid, electric meters and devices, networks, energy storage and management, and enabling software used by the smart grid infrastructure sector. The fund is non-diversified."
12,IQLT,0.0235,0.0351999,0.0378403,0.0614249,0.0089,0.9888,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index measures the performance of international developed large- and mid-capitalization stocks exhibiting relatively higher quality characteristics as identified through three fundamental variables: return on equity, earnings variability and debt-to-equity."
13,EUFN,0.0424,0.0989228,0.1481964,0.0383637,0.0078,0.9922,0,0,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization-weighted index designed to measure the combined equity market performance of the financials sector of developed market countries in Europe."
