stock_id,meanAnnualReturn,standardDeviation
1,0.42,18.66
1,0.61,19.3
1,0,0
2,0.66,24.17
2,1.12,24.51
2,0.71,19.82
3,0.75,23.41
3,0.62,25.65
3,0.69,18.86
4,0.96,19.52
4,0.81,18.68
4,1,15.35
5,0.36,23.7
5,1.14,25.36
5,0.27,20.73
6,0.21,27.13
6,0.93,26.39
6,0.29,22.55
7,0,0
7,0.41,19.5
7,0,0
8,0,0
8,0,0
8,0,0
9,0,0
9,0,0
9,0,0
10,0.61,22.78
10,0.9,24.18
10,0.47,19.03
11,1.49,25.24
11,1.44,23.87
11,1.11,19.82
12,0.55,18.34
12,0.55,19.4
12,0,0
13,0.52,27.23
13,1.53,27.39
13,0.38,22.45
14,0.65,16.34
14,0.46,18.11
14,0.54,14
15,0.39,18.82
15,0.17,20.25
15,0.43,15.25
16,0.49,20.03
16,0.78,21
16,0.42,16.52
17,0,0
17,0,0
17,0,0
18,0.13,3.55
18,-0.1,3.24
18,0,0
19,1.03,20.01
19,0.77,21.34
19,1,16.67
20,0,0
20,0,0
20,0,0
21,0.72,19.76
21,0.43,19.74
21,0.62,16.37
22,0.48,22.81
22,0.76,24.02
22,0.45,18.76
23,0.77,19.51
23,1.15,19.26
23,0,0
24,0.34,19.35
24,1.04,18.97
24,0.27,16.2
25,0.48,14.4
25,1.2,12.72
25,0,0
26,0,0
26,0,0
26,0,0
27,2.06,30.49
27,1.74,32.37
27,2.01,24.78
28,0.35,23.33
28,0.84,23.95
28,0.38,18.13
29,0.49,20.64
29,0.73,21.23
29,0.44,16.79
30,0.48,20.51
30,0.72,21.27
30,0,0
31,0.56,24.18
31,0.81,22.91
31,0.41,20.22
32,0.32,27.74
32,1.44,27.88
32,0.46,22.85
33,0.54,19.66
33,0.71,20.47
33,0.39,16.4
34,0.34,26.62
34,0.71,23.88
34,0.33,21.21
35,1.09,23.42
35,0.47,23.04
35,1.43,19.2
36,0.61,22.21
36,-0.18,21.83
36,0.63,18.6
37,0.65,23.01
37,1.17,24.23
37,0.6,18.79
38,0.38,17.9
38,0.48,18.2
38,0,0
39,0.52,16.29
39,0.39,16.13
39,0,0
40,0,0
40,0,0
40,0,0
41,0.4,18.52
41,0.61,19.09
41,0.4,15.19
42,0.71,14.96
42,1.1,13.85
42,0,0
43,0.52,18.07
43,0.35,18.9
43,0.53,14.4
44,0.27,19.89
44,0.41,19.58
44,0,0
45,0.39,16.71
45,0.17,16.9
45,0,0
46,0,0
46,0,0
46,0,0
47,1.07,20.09
47,1.02,19.99
47,0.83,16.79
48,0.29,18.79
48,0.6,18.34
48,0,0
49,-0.01,14.47
49,0.19,13.63
49,0,0
50,0.64,18.13
50,0.91,17.76
50,0,0
51,0.24,21.18
51,-0.37,20.74
51,0.55,18.76
52,1.44,23.11
52,1.05,23.71
52,1.51,18.53
53,0.78,19.68
53,0.63,20.82
53,0.74,15.64
54,0.59,20.41
54,1.19,18.35
54,0.4,16.9
56,0.42,16.18
56,0.58,16.81
56,0,0
57,0.24,24.08
57,0.21,24.95
57,0.32,19.97
58,0.54,20.45
58,0.62,19.97
58,0,0
59,0.21,28.51
59,0.65,26.58
59,0.18,25.13
60,0.45,17.92
60,0.58,17.45
60,0,0
61,0.24,19.19
61,0.4,19.24
61,0,0
62,1.62,23.12
62,1.24,23.12
62,1.63,18.41
63,0.09,8.37
63,-0.41,8.29
63,0,0
64,0,0
64,0.84,18.52
64,0,0
65,0.39,18.72
65,0.57,19.08
65,0.43,15.27
66,0.49,23.91
66,0.32,25.04
66,0.4,18.91
67,0.58,19.01
67,0.6,19.06
67,0.63,15.6
68,0.03,26.14
68,0.24,24.76
68,0.26,21.24
69,0.18,1.95
69,0.19,1.02
69,0.14,1.4
70,0.42,18.84
70,0.6,18.92
70,0,0
71,0.63,21.43
71,0.89,19.32
71,0.45,17.68
72,0.72,16.12
72,0.93,14.6
72,0,0
73,0.29,21.16
73,0.45,20.4
73,0.32,17.85
74,0,0
74,0,0
74,0,0
75,0.98,19.4
75,0.91,18.63
75,1.01,15.28
76,0.38,19.8
76,1.02,19.61
76,0.34,16.3
77,-0.17,11.78
77,-0.62,12.24
77,-0.09,9.67
78,0.63,20.04
78,0.74,18.11
78,1.05,16.88
79,0.47,20.14
79,1.05,19.99
79,0.44,16.48
80,0.68,17.99
80,0.06,17.33
80,0,0
81,0.4,18.44
81,0.56,18.45
81,0.42,15.02
82,1.16,23.23
82,1.08,22.94
82,1.4,18.61
83,0.18,2.02
83,0.19,1
83,0.14,1.45
84,0.23,21.1
84,0.47,21.66
84,0.44,17.27
85,0.58,25.9
85,1.47,22.79
85,0.85,19.78
86,0.66,16.59
86,0.65,16.21
86,0.49,16.42
87,0.99,20.27
87,1.03,20.25
87,1.08,16.67
88,0.12,13.48
88,0.15,14.29
88,0.36,11.32
89,0.41,19.03
89,0.58,19.1
89,0.43,15.33
90,0.59,15.46
90,0.6,14.04
90,0,0
91,0.8,18.62
91,0.69,18.27
91,0.84,15.3
92,0,0
92,0.44,14.99
92,0,0
93,1.05,20.81
93,1.1,20.63
93,0.99,17.41
94,0.55,15.02
94,0.43,14.96
94,0.74,12.9
95,0.27,18.92
95,0.42,18.6
95,0,0
96,0,0
96,0.53,15.46
96,0,0
97,0.24,16.27
97,0.3,16.64
97,0.41,13.84
98,0.85,15.82
98,1.39,13.24
98,0,0
99,0.51,15.99
99,0.27,16.96
99,0.54,13.61
100,0.64,18.27
100,0.76,18.03
100,0,0
101,0.24,15.65
101,0.39,15.04
101,0.19,14.43
102,0.67,19.86
102,0.8,18.96
102,0,0
103,0.54,20.84
103,0.84,19.04
103,0,0
104,0.71,18.6
104,0.8,17.61
104,0.94,15
105,0,0
105,0.91,14.8
105,0,0
106,0.24,23.49
106,0.49,22.53
106,0.43,18.81
107,0.93,19.39
107,0.83,18.27
107,0,0
108,0.67,25.59
108,0.38,25.04
108,0,0
109,0,0
109,0.22,12.5
109,0,0
110,1.31,25.1
110,0.87,25.5
110,1.49,20.25
111,0.24,16.34
111,0.28,16.56
111,0.4,13.82
112,1.51,23.34
112,1.08,23.13
112,1.62,18.85
113,0.06,20.3
113,0.48,18.73
113,0.16,17.9
114,0.69,17.11
114,0.67,16.04
114,0.8,13.43
115,0.65,21.69
115,0.85,20.68
115,0.72,16.93
116,0.38,20.77
116,0.11,21.33
116,0.37,16.7
117,0.37,17.56
117,0.46,17.08
117,0.39,14.65
118,0.19,19.8
118,-0.09,18.92
118,0,0
119,1.4,31.73
119,-0.15,32.47
119,0.74,25.63
120,1.06,17.6
120,0.89,15.92
120,0.88,14.14
121,1.16,22.09
121,1.43,19.2
121,1.27,17.3
122,-0.23,10.75
122,-0.61,11.41
122,-0.14,9.18
123,0.31,21.12
123,0.76,20.45
123,0.3,17.11
124,1.76,29.54
124,1.38,29.92
124,0,0
125,0,0
125,0,0
125,0,0
126,0.43,18.79
126,0.65,16.57
126,0.46,14.94
127,0.43,19
127,0.65,16.93
127,0.45,15.09
128,0.31,22.31
128,0.54,19.99
128,0.5,18.17
129,0.42,19.64
129,1.16,19.31
129,0,0
